zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
70516,523,260,113,0,59,28
70517,17039,6970,3026,706,1755,527
70518,8633,2735,2074,427,1598,660
70519,189,37,112,0,0,20
70520,12092,4692,2545,566,1751,591
70523,398,193,50,22,44,11
70524,322,156,45,4,23,15
70525,8649,3715,1512,499,504,86
70526,12454,4464,1973,619,982,309
70528,1716,796,292,123,125,27
70529,7156,2589,1315,449,873,332
70531,939,457,154,39,37,0
70532,1667,663,293,47,203,94
70533,4486,2067,765,271,460,84
70534,572,246,81,11,61,5
70535,11634,4466,1855,929,933,362
70537,379,212,29,0,10,0
70538,9409,4236,1692,288,622,380
70541,310,146,41,23,26,13
70542,2467,1298,376,100,121,27
70543,2787,1323,383,294,262,62
70544,7590,3476,1236,167,488,234
70546,10477,4538,1846,404,938,448
70548,6840,2984,773,337,496,299
70549,2815,1023,555,58,253,77
70550,377,188,0,41,0,0
70552,1170,613,166,55,54,17
70554,3561,1435,531,70,235,208
70555,5235,1881,1107,241,630,211
70556,227,66,19,2,44,24
70558,0,0,0,0,0,0
70559,1604,658,275,94,49,26
70560,26541,11022,4454,936,1974,1059
70563,12466,4115,2919,934,2080,838
70570,23958,9949,3422,1102,2406,1433
70575,33,0,14,0,19,0
70576,977,416,135,28,37,28
70577,2514,1293,447,81,181,10
