thedate,regionid,regionname,state,metro,county,city,sizerank,zhvi,mom,qoq,yoy,change_5year,change_10year,peakmonth,peakquarter,peakzhvi,pctfallfrompeak,lasttimeatcurrzhvi
2015-12-31,58522,1862,MA,Boston,Middlesex,Billerica,7689,366300,0.00356164383561644,0.0115990057995029,0.040329451860267,0.0238502735887618,-0.00213784469850054,2005-09,2005-Q3,378400,-0.0319767441860465,2004-11
2015-12-31,60478,6855,CT,Stamford,Fairfield,Norwalk,7690,389000,0.00516795865633075,0.0188580408590885,0.00516795865633075,-0.00174476354421471,-0.0198555739982804,2006-03,2006-Q1,480700,-0.190763469939671,2003-12
2015-12-31,78608,47441,IN,,Greene,Linton,7691,75300,-0.0013262599469496,0,-0.0220779220779221,0.0426793035616058,-0.0142256354308568,2005-10,2005-Q4,89100,-0.154882154882155,2004-06
2015-12-31,65744,19072,PA,Philadelphia,Montgomery,Lower Merion Township,7692,468300,-0.00319284802043423,-0.00127959053103007,0.0342314487632509,0.015450467257667,0.00562470625757761,2015-10,2015-Q4,470500,-0.00467587672688629,2015-09
2015-12-31,78950,48074,MI,Detroit,Saint Clair,Smiths Creek,7693,128400,0.00626959247648903,0.0288461538461538,0.0498773507767784,0.0573609280761787,-0.00982226063882641,2005-06,2005-Q2,143200,-0.103351955307263,2003-03
2015-12-31,69399,27542,NC,Raleigh,Johnston,Kenly,7694,130400,0,0,0.00928792569659443,0.0125276856825169,0.00906895920074646,2015-07,2015-Q3,130700,-0.00229533282325937,2015-04
2015-12-31,58232,1057,MA,Springfield,Hampden,Monson,7695,220100,0.00227686703096539,0.000454545454545455,0.0256290773532153,0.00507406133566723,-0.0122613008844381,2005-12,2005-Q4,249000,-0.116064257028112,2004-12
2015-12-31,59113,3304,NH,Concord,Merrimack,Bow,7696,270000,0.00972326103216156,0.0262257696693273,0.0650887573964497,0.0182462700269412,-0.010914686978396,2006-03,2006-Q1,307200,-0.12109375,2003-07
2015-12-31,60262,6355,CT,New London,New London,Town of Groton,7697,268300,-0.00111690245718541,-0.00592812152649129,-0.0117863720073665,-0.00511162229682316,-0.0155624786016515,2006-11,2006-Q4,321700,-0.165993161330432,2004-05
2015-12-31,67074,21842,MD,Salisbury,Worcester,Ocean City,7698,232900,0.00128976784178848,0.00561312607944732,-0.00809199318568995,-0.0204038471729169,-0.0432891090463179,2006-06,2006-Q2,363500,-0.359284731774415,2003-02
2015-12-31,60865,7921,NJ,New York,Somerset,Bedminster,7699,325700,-0.000306936771025169,0.00400739827373613,-0.0127311306456502,0.0125705878107156,-0.0129166916135337,2006-03,2006-Q1,372700,-0.126106788301583,2004-12
2015-12-31,97998,95130,CA,San Jose,Santa Clara,San Jose,7700,1138700,0.00948581560283688,0.0288218286953379,0.14545820340006,0.110339780229657,0.0447693166649046,2015-12,2015-Q4,1138700,0,2015-12
2015-12-31,82454,55792,MN,Duluth,Saint Louis,Virginia,7701,76700,0.00921052631578947,0.0421195652173913,0.0281501340482574,0.0235388880030711,0.0114077830750372,2015-12,2015-Q4,76700,0,2015-12
2015-12-31,84576,60548,IL,Chicago,De Kalb,Sandwich,7702,157600,-0.00189993666877771,0.00767263427109974,-0.00755667506297229,-0.0224241074353786,-0.0223897239395692,2006-11,2006-Q4,202600,-0.222112537018756,2003-07
2015-12-31,65311,18031,PA,Allentown,Lehigh,Upper Macungie,7703,257100,0.00312134217713617,0.00863083562181247,0.0511038430089943,0.0291634748334966,0.00888955967980953,2007-04,2007-Q2,272200,-0.0554739162380603,2006-07
2015-12-31,58435,1583,MA,Worcester,Worcester,West Boylston,7704,254100,0.00434782608695652,0.0266666666666667,0.0707964601769911,0.014827382301388,-0.0146680976783492,2005-05,2005-Q2,299500,-0.151585976627713,2003-08
2015-12-31,60543,7028,NJ,New York,Essex,Glen Ridge,7705,575400,0.0105374077976818,0.0166077738515901,0.0207557211282597,0.027777061914199,-0.00301093405669517,2006-05,2006-Q2,600900,-0.0424363454817773,2005-08
2015-12-31,58995,2921,RI,Providence,Providence,Cranston,7706,320600,0.00722588752748979,0.0278935556268035,0.0446399478657543,0.00624013805333057,-0.0225548578719252,2006-05,2006-Q2,408400,-0.214985308521058,2003-10
2015-12-31,60263,6357,CT,New London,New London,Niantic,7707,250400,-0.00119664938173115,-0.00437375745526839,-0.00831683168316832,-0.0128394640421026,-0.0181839148996442,2006-12,2006-Q4,310400,-0.193298969072165,2004-06
2015-12-31,58725,2338,MA,Boston,Plymouth,Halifax,7708,296700,0.0078125,0.0241629271660338,0.0948339483394834,0.027907702191974,-0.0109259376629339,2005-04,2005-Q2,335700,-0.116175156389634,2003-10
2015-12-31,70298,29078,SC,Columbia,Kershaw,Lugoff,7709,100400,0,-0.0108374384236453,-0.0590440487347704,0.00736727921297753,0.00632037275684971,2014-12,2014-Q4,106700,-0.0590440487347704,2014-10
2015-12-31,98485,95932,CA,,Colusa,Colusa,7710,179200,-0.00720221606648199,-0.0339622641509434,0.0257584430452204,0.0140802185012832,-0.0506020190617418,2006-12,2006-Q4,307900,-0.417992854822994,2003-11
2015-12-31,60901,8004,NJ,Philadelphia,Camden,Waterford,7711,168400,0,0.00297796307325789,0.00959232613908873,-0.0131324115967686,-0.0220788520020113,2006-09,2006-Q3,224400,-0.249554367201426,2004-05
2015-12-31,96808,92325,CA,Riverside,San Bernardino,Crestline,7712,176000,0.00513992004568818,0.0214741729541497,0.0817455439459127,0.0269992556151333,-0.0451420808499126,2006-09,2006-Q3,290200,-0.393521709166092,2004-04
2015-12-31,81093,52742,IA,Clinton,Clinton,De Witt,7713,157300,0.00575447570332481,-0.0229813664596273,-0.0849331006399069,,,2014-11,2014-Q4,174900,-0.10062893081761,2014-03
2015-12-31,65352,18078,PA,Allentown,Lehigh,North Whitehall Township,7714,266400,0.00263455024463681,0.00188040616773223,0.0206896551724138,0.0163606846449027,-0.00292672917920811,2007-04,2007-Q2,287800,-0.074357192494788,2005-10
2015-12-31,58915,2814,RI,Providence,Providence,Glocester,7715,234200,0.00774526678141136,0.0271929824561404,0.034909412284578,0.020540204586913,-0.0266166078492661,2006-05,2006-Q2,309000,-0.242071197411003,2003-09
2015-12-31,79478,48915,MI,Lansing,Ingham,Lansing Township,7716,58300,0.00517241379310345,0.00517241379310345,-0.0520325203252033,-0.00967816446934311,-0.0479182361496734,2007-03,2007-Q1,97300,-0.40082219938335,1998-08
2015-12-31,91353,76305,TX,Wichita Falls,Wichita,Wichita Falls,7717,117300,0.00170794192997438,0.00170794192997438,0.0362190812720848,0.00102616942531197,0.0046342937140218,2013-08,2013-Q3,120300,-0.0249376558603491,2013-03
2015-12-31,94471,84111,UT,Salt Lake City,Salt Lake,Salt Lake City,7718,176200,-0.00169971671388102,-0.00564334085778781,0.0358612580834803,0.0289079194267614,0.0263101989736014,2008-01,2008-Q1,190000,-0.0726315789473684,2007-04
2015-12-31,71572,31554,GA,Douglas,Coffee,Nicholls,7719,85100,0.00591016548463357,0.0265379975874548,-0.067907995618839,0.0354512699616469,0.0081737212538695,2015-04,2015-Q2,103100,-0.17458777885548,2014-08
2015-12-31,63636,14615,NY,Rochester,Monroe,Rochester,7720,77800,-0.00256410256410256,-0.0101781170483461,0.0077720207253886,0.00336707958333715,0.00692314205934519,2010-01,2010-Q1,79600,-0.0226130653266332,2009-09
2015-12-31,92410,78362,TX,Corpus Christi,San Patricio,Ingleside,7721,132300,0.0099236641221374,0.03198127925117,0.0979253112033195,0.0383645624567963,0.0244586403404512,2015-12,2015-Q4,132300,0,2015-12
2015-12-31,66256,20166,VA,Washington,Loudoun,Sterling,7722,363600,0.00358818658570246,0.00469743022934512,0.0182021842621115,0.032706939986257,-0.0219972169645591,2005-10,2005-Q4,456300,-0.203155818540434,2004-09
2015-12-31,58823,2631,MA,Cape Cod,Barnstable,Town of Brewster,7723,395700,0.000758725341426404,0.00304182509505703,0.0418641390205371,0.0169255073722507,-0.00854240630775149,2006-04,2006-Q2,432800,-0.085720887245841,2004-03
2015-12-31,97482,93926,CA,Salinas,Monterey,Gonzales,7724,311500,0.00548741123305358,0.0146579804560261,0.171933784800602,0.120924155302847,-0.0516131972259124,2006-04,2006-Q2,538900,-0.421970681016886,2003-11
2015-12-31,61903,10709,NY,New York,Westchester,Eastchester,7725,648800,0.0099626400996264,0.0132750273309386,0.0549593495934959,0.0209418227735532,-0.0028897134527357,2006-11,2006-Q4,674500,-0.0381022979985174,2005-05
2015-12-31,97778,94572,CA,San Francisco,Contra Costa,Rodeo,7726,441300,0.00730426843186487,0.0320392890551918,0.150717079530639,0.101947391707002,-0.0236353280731969,2005-12,2005-Q4,562200,-0.215048025613661,2004-09
2015-12-31,64616,16502,PA,Erie,Erie,Erie,7727,61600,-0.00484652665589661,-0.0159744408945687,-0.00805152979066022,-0.00606685916190919,-0.00748710318972279,2006-05,2006-Q2,67700,-0.0901033973412112,2005-06
2015-12-31,399681,94505,CA,San Francisco,Contra Costa,Discovery Bay,7728,531300,0,-0.00375023438964935,0.0292522278186749,0.0891730571735372,-0.0293376632911799,2005-12,2005-Q4,717600,-0.259615384615385,2004-07
2015-12-31,77134,44321,OH,Akron,Summit,Copley,7729,194300,0.00517330574236937,0.0162133891213389,0.0296767355590885,0.0153435950465304,-0.0057023887734784,2007-02,2007-Q1,209800,-0.0738798856053384,2004-02
2015-12-31,89339,72058,AR,Little Rock,Faulkner,Greenbrier,7730,133800,0.00375093773443361,0.00753012048192771,0.0340030911901082,0.0112405084758644,0.0220337223242277,2015-12,2015-Q4,133800,0,2015-12
2015-12-31,91838,77316,TX,Houston,Montgomery,Montgomery,7731,274900,0.00145719489981785,0.00365096750638919,0.055278310940499,0.0766740052901,0.0651793457889369,2015-12,2015-Q4,274900,0,2015-12
2015-12-31,72216,32784,FL,Orlando,Lake,Umatilla,7732,123500,0.00243506493506494,-0.00962309542902967,0.0181368507831822,0.0277321486656832,-0.0236978885276271,2006-11,2006-Q4,172600,-0.284472769409038,2004-11
2015-12-31,60799,7760,NJ,New York,Monmouth,Rumson,7733,798400,0.0037716872014081,0.0140988187476184,0.00175658720200753,0.00505179305567882,-0.0102878038537041,2006-03,2006-Q1,891100,-0.104028728537762,2005-01
2015-12-31,96777,92276,CA,Riverside,Riverside,Thousand Palms,7734,184800,0.0065359477124183,0.0289532293986637,0.146401985111663,0.0733104036812418,-0.0538518618043158,2006-05,2006-Q2,335900,-0.449836260791902,2004-02
2015-12-31,99253,97403,OR,Eugene,Lane,Eugene,7735,339400,0.00592768227622999,0.0195253829978973,0.0520768753874768,0.00491807346632345,0.000474046861106192,2007-06,2007-Q2,367700,-0.0769649170519445,2006-01
2015-12-31,85269,62024,IL,St. Louis,Madison,East Alton,7736,78700,0.00254777070063694,0.00639386189258312,0.0128700128700129,-0.00893887257029324,-0.00472195382695106,2010-03,2010-Q1,87000,-0.0954022988505747,2004-11
2015-12-31,64786,16866,PA,State College,Centre,Philipsburg,7737,105500,0.00094876660341556,-0.00377714825306893,0.0363457760314342,0.0171175582129361,0.0119077905596698,2011-09,2011-Q3,106000,-0.00471698113207547,2011-08
2015-12-31,93443,80517,CO,Fort Collins,Larimer,Estes Park,7738,368300,0.00163176502583628,0.00381575361133824,0.0666087460179554,0.0339245613402852,0.021265105764404,2015-12,2015-Q4,368300,0,2015-12
2015-12-31,69970,28460,NC,Jacksonville,Onslow,North Topsail Beach,7739,192300,-0.0062015503875969,-0.0188775510204082,-0.00876288659793814,-0.026124698030408,-0.00515759777059532,2008-04,2008-Q2,239500,-0.197077244258873,2005-08
2015-12-31,62667,12566,NY,Kingston,Ulster,Shawangunk,7740,168600,-0.00295683027794205,0.00297441998810232,0.0144404332129964,-0.0415705373554931,-0.0435408585052055,2006-09,2006-Q3,268100,-0.371130175307721,2002-11
2015-12-31,58294,1220,MA,Pittsfield,Berkshire,Town of Adams,7741,130700,-0.00152788388082506,-0.00456968773800457,0.011609907120743,-0.0103726134380098,-0.0134715979469168,2006-05,2006-Q2,152400,-0.14238845144357,2004-12
2015-12-31,95033,85653,AZ,Tucson,Pima,Marana,7742,169800,0.00117924528301887,0.00473372781065089,0.0259818731117825,0.0382382868161335,-0.0261459783961393,2006-05,2006-Q2,234700,-0.276523221133362,2004-12
2015-12-31,69422,27573,NC,Durham,Person,Roxboro,7743,96400,0.00626304801670146,0.0354457572502685,0.110599078341014,0.036665043500302,0.00262827047037018,2007-10,2007-Q4,103200,-0.0658914728682171,2006-10
2015-12-31,88035,68505,NE,Lincoln,Lancaster,Lincoln,7744,134700,0.00223214285714286,0.00974512743628186,0.0417633410672854,0.0232103339461034,0.00921006066369112,2015-12,2015-Q4,134700,0,2015-12
2015-12-31,71523,31408,GA,Savannah,Chatham,Garden City,7745,97700,-0.00610376398779247,-0.0200601805416249,-0.00509164969450102,0.0144864423474147,-0.000508777479568678,2008-09,2008-Q3,104900,-0.0686367969494757,2005-10
2015-12-31,76949,44028,OH,Cleveland,Lorain,Grafton,7746,191100,0.00104766893661603,0.00950871632329636,0.0357723577235772,0.0209512650761976,0.00572910898363088,2015-12,2015-Q4,191100,0,2015-12
2015-12-31,63629,14608,NY,Rochester,Monroe,Rochester,7747,52300,-0.00759013282732448,-0.0610412926391382,0,0.0126823409036754,0.000191040271480869,2014-03,2014-Q1,58700,-0.109028960817717,2012-06
2015-12-31,89899,73068,OK,Oklahoma City,Cleveland,Noble,7748,103900,-0.000961538461538462,-0.00669216061185468,0.0307539682539683,0.047407979434565,0.0286597045771635,2015-08,2015-Q3,104900,-0.00953288846520496,2015-04
2015-12-31,97361,93614,CA,Madera,Madera,Coarsegold,7749,234200,-0.00213037920749893,-0.00127931769722815,0.0385809312638581,0.0299494444799744,-0.0372660694876196,2007-01,2007-Q1,350600,-0.332002281802624,2003-10
2015-12-31,72996,34102,FL,Naples,Collier,Naples,7750,606800,0.0136986301369863,0.0365562008882815,0.0745528599256242,0.069934688148138,-0.0161221632661046,2005-12,2005-Q4,714600,-0.150853624405262,2005-05
2015-12-31,64425,16046,PA,Pittsburgh,Butler,Mars,7751,330900,0.00333535476046089,0.0134762633996937,0.0295581829495955,0.0441476826174736,0.0263825571770648,2015-12,2015-Q4,330900,0,2015-12
2015-12-31,65021,17319,PA,York,York,Newberry Township,7752,159600,-0.00125156445556946,0.000626959247648903,0.054857898215466,-0.00274284147532822,0.00171307636497042,2010-01,2010-Q1,171300,-0.0683012259194396,2006-03
2015-12-31,85182,61834,IL,Danville,Vermilion,Danville,7753,119600,0.0144189991518236,0.0363951473136915,0.170254403131115,,,2015-12,2015-Q4,119600,0,2015-12
