zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
04544,118,5,57,54,87
04547,63,29,6,51,41
04548,107,38,26,81,99
04551,122,16,13,20,105
04553,205,39,70,71,207
04554,82,0,0,30,48
04555,154,25,60,87,151
04556,98,35,34,62,99
04558,12,0,43,20,0
04562,159,35,60,55,182
04563,54,38,12,30,67
04564,90,21,46,9,44
04568,58,7,20,33,61
04571,23,10,70,24,0
04572,252,59,32,210,273
04573,62,26,13,37,43
04574,77,31,26,15,86
04575,19,0,0,0,24
04576,116,4,50,15,68
04578,215,74,141,114,408
04579,271,35,40,93,164
04605,923,341,444,576,587
04606,58,6,27,66,26
04607,60,4,22,32,40
04609,787,194,248,324,364
04611,20,0,6,21,6
04612,38,2,0,23,26
04613,6,4,4,0,12
04614,197,24,70,112,273
04616,85,24,15,47,136
04617,94,40,15,29,133
04619,227,51,39,49,23
04622,45,11,18,35,69
04623,45,23,23,70,26
04624,3,8,3,8,17
04625,5,0,1,2,4
04626,34,8,10,13,11
04627,109,32,56,107,105
04628,33,2,2,26,32
04629,99,27,0,26,50
04630,71,29,49,33,55
04631,98,58,16,64,107
04634,71,15,29,51,57
04635,0,0,0,2,0
04637,16,4,0,8,13
04640,121,15,51,52,192
04642,10,9,0,3,3
04643,60,8,21,36,7
04645,10,0,2,1,6
04646,6,1,3,5,11
04648,32,5,4,23,17
04649,44,34,15,51,45
04650,18,0,0,9,4
04652,110,19,37,64,95
04653,34,5,10,23,36
04654,190,26,94,133,115
04655,42,5,56,57,35
04657,15,3,2,11,10
04658,43,25,65,36,60
04660,254,20,36,85,200
04662,80,16,15,23,23
04664,69,15,10,35,42
04666,68,8,20,42,44
04667,60,25,27,35,72
04668,38,3,38,17,15
04669,29,0,4,27,12
04671,23,2,19,5,2
04673,5,5,0,3,5
04674,42,14,0,11,61
04675,51,15,10,5,74
04676,111,16,15,44,111
04677,20,10,4,16,28
04679,220,25,87,60,98
04680,49,13,18,22,51
04681,76,15,45,39,66
04683,0,0,0,0,6
04684,175,30,46,105,155
04685,29,5,2,12,20
04686,6,3,0,2,4
04691,46,6,7,47,21
04693,28,6,14,28,5
04694,71,46,43,60,80
04730,272,198,141,253,261
04732,24,11,14,46,33
04733,6,0,0,6,4
04734,14,16,11,33,25
04735,7,4,9,19,7
04736,410,114,260,301,187
04739,35,7,16,28,23
04740,42,20,43,38,16
04742,69,40,104,94,18
04743,206,144,93,262,103
04745,13,14,24,55,23
04746,11,2,9,5,10
04747,60,17,18,67,37
04750,41,16,65,77,55
04756,115,64,82,88,51
04757,146,51,89,92,60
04758,26,29,55,41,30
04760,4,4,4,3,22
04761,15,9,11,23,0
04762,49,15,20,32,31
04763,17,7,3,19,23
04764,4,0,0,0,4
04765,45,14,9,47,19
04766,19,10,3,6,11
04768,15,4,12,28,2
04769,391,130,157,301,307
04772,32,9,5,37,9
04773,7,0,47,22,0
04774,17,4,2,23,7
04776,59,2,11,13,4
04777,2,12,2,7,1
04779,13,0,9,4,11
04780,25,3,0,31,9
04781,29,3,7,42,15
04783,30,19,12,29,13
04785,34,27,80,57,47
04786,46,15,52,42,33
04787,16,5,4,13,16
04841,644,144,132,254,599
04843,696,112,197,141,646
04847,151,24,22,70,111
04848,79,13,12,38,88
04849,417,34,180,122,323
04851,7,0,0,3,10
04852,9,0,0,2,0
04853,50,11,15,26,60
04854,119,44,29,65,104
04855,40,7,12,0,54
04856,413,32,69,130,261
04858,79,45,20,47,105
04859,28,7,3,41,33
04860,198,15,50,120,171
04861,223,46,56,114,191
04862,238,64,70,78,203
04863,64,7,4,49,95
04864,85,67,55,77,204
04901,1283,464,640,716,954
04910,122,27,8,56,23
04911,35,46,16,28,40
04912,33,11,11,23,36
04915,780,151,277,372,596
04917,220,92,108,129,176
04918,44,0,0,0,36
04920,49,21,4,55,42
04921,42,30,18,21,59
04922,42,4,29,11,6
04923,4,4,4,5,7
04924,106,24,48,53,53
04925,10,0,6,5,10
04927,119,10,51,37,27
04928,73,61,27,55,45
04929,21,9,5,20,13
04930,114,38,103,95,71
04932,68,25,24,26,48
04936,0,5,0,0,24
04937,417,45,133,35,273
04938,628,361,112,400,550
04939,47,13,9,11,45
04941,168,26,10,70,78
04942,25,26,14,4,49
04943,49,21,37,24,15
04945,34,19,28,16,49
04947,197,18,90,77,135
04949,41,13,15,28,65
04950,130,30,77,73,88
04951,56,9,30,38,66
04952,69,23,33,52,84
04953,174,39,59,65,86
04955,62,42,22,52,39
04956,35,6,26,21,35
04957,156,88,92,97,95
04958,18,35,33,59,39
04961,57,14,8,26,15
